OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2774,2015/01/15 16:00:00+00,BG,Bangu,O3,Regular,83
2775,2015/01/15 16:00:00+00,CG,Campo Grande,PI,Regular,53
2776,2015/01/15 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,36
2777,2015/01/16 16:00:00+00,CA,Centro,PI,Regular,52
2778,2015/01/16 16:00:00+00,AV,Copacabana,PI,Regular,67
2779,2015/01/16 16:00:00+00,SC,São Cristóvão,O3,Regular,72
2780,2015/01/16 16:00:00+00,SP,Tijuca,O3,Regular,69
2781,2015/01/16 16:00:00+00,IR,Irajá,O3,Regular,63
2782,2015/01/16 16:00:00+00,BG,Bangu,PI,Regular,57
2783,2015/01/16 16:00:00+00,CG,Campo Grande,O3,Regular,52
2784,2015/01/16 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,41
2785,2015/01/17 16:00:00+00,CA,Centro,O3,Regular,61
2786,2015/01/17 16:00:00+00,AV,Copacabana,PI,Regular,57
2787,2015/01/17 16:00:00+00,SC,São Cristóvão,O3,Regular,85
2788,2015/01/17 16:00:00+00,SP,Tijuca,O3,Inadequada,114
2789,2015/01/17 16:00:00+00,IR,Irajá,O3,Inadequada,165
2790,2015/01/17 16:00:00+00,BG,Bangu,O3,Regular,82
2791,2015/01/17 16:00:00+00,CG,Campo Grande,O3,Regular,78
2792,2015/01/17 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,64
2793,2015/01/18 16:00:00+00,CA,Centro,O3,Regular,83
2794,2015/01/18 16:00:00+00,AV,Copacabana,O3,Regular,64
2795,2015/01/18 16:00:00+00,SC,São Cristóvão,O3,Regular,85
2796,2015/01/18 16:00:00+00,SP,Tijuca,O3,Inadequada,128
2797,2015/01/18 16:00:00+00,IR,Irajá,O3,Inadequada,157
2798,2015/01/18 16:00:00+00,BG,Bangu,O3,Regular,78
2799,2015/01/18 16:00:00+00,CG,Campo Grande,O3,Regular,80
2800,2015/01/18 16:00:00+00,PG,Pedra de Guaratiba,PI,Regular,64
2801,2015/01/19 16:00:00+00,CA,Centro,O3,Regular,65
2802,2015/01/19 16:00:00+00,AV,Copacabana,O3,Regular,68
2803,2015/01/19 16:00:00+00,SC,São Cristóvão,O3,Regular,85
2804,2015/01/19 16:00:00+00,SP,Tijuca,O3,Regular,92
2805,2015/01/19 16:00:00+00,IR,Irajá,O3,Má,206
2806,2015/01/19 16:00:00+00,BG,Bangu,O3,Má,207
2807,2015/01/19 16:00:00+00,CG,Campo Grande,O3,Regular,84
2808,2015/01/19 16:00:00+00,PG,Pedra de Guaratiba,PI,Regular,56
2809,2015/01/20 16:00:00+00,CA,Centro,O3,Regular,65
2810,2015/01/20 16:00:00+00,AV,Copacabana,PI,Regular,70
2811,2015/01/20 16:00:00+00,SC,São Cristóvão,O3,Regular,86
2812,2015/01/20 16:00:00+00,SP,Tijuca,O3,Regular,99
2813,2015/01/20 16:00:00+00,IR,Irajá,O3,Regular,83
2814,2015/01/20 16:00:00+00,BG,Bangu,O3,Inadequada,196
2815,2015/01/20 16:00:00+00,CG,Campo Grande,O3,Regular,94
2816,2015/01/20 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,58
2817,2015/01/21 16:00:00+00,CA,Centro,O3,Regular,53
2818,2015/01/21 16:00:00+00,AV,Copacabana,PI,Regular,61
2819,2015/01/21 16:00:00+00,SC,São Cristóvão,O3,Regular,86
2820,2015/01/21 16:00:00+00,SP,Tijuca,O3,Regular,92
2821,2015/01/21 16:00:00+00,IR,Irajá,O3,Inadequada,108
2822,2015/01/21 16:00:00+00,BG,Bangu,O3,Regular,72
2823,2015/01/21 16:00:00+00,CG,Campo Grande,O3,Regular,71
2824,2015/01/21 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,46
2825,2015/01/22 16:00:00+00,CA,Centro,PI,Boa,32
2826,2015/01/22 16:00:00+00,AV,Copacabana,PI,Boa,48
2827,2015/01/22 16:00:00+00,SC,São Cristóvão,O3,Boa,41
2828,2015/01/22 16:00:00+00,SP,Tijuca,O3,Boa,46
2829,2015/01/22 16:00:00+00,IR,Irajá,O3,Boa,49
2830,2015/01/22 16:00:00+00,BG,Bangu,O3,Regular,51
2831,2015/01/22 16:00:00+00,CG,Campo Grande,O3,Boa,47
2832,2015/01/22 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,43
2833,2015/01/23 16:00:00+00,CA,Centro,O3,Boa,46
2834,2015/01/23 16:00:00+00,AV,Copacabana,PI,Boa,41
2835,2015/01/23 16:00:00+00,SC,São Cristóvão,O3,Boa,30
2836,2015/01/23 16:00:00+00,SP,Tijuca,O3,Regular,56
2837,2015/01/23 16:00:00+00,IR,Irajá,O3,Regular,71
2838,2015/01/23 16:00:00+00,BG,Bangu,O3,Regular,60
2839,2015/01/23 16:00:00+00,CG,Campo Grande,O3,Boa,45
2840,2015/01/23 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,44
2841,2015/01/24 16:00:00+00,CA,Centro,O3,Boa,46
2842,2015/01/24 16:00:00+00,AV,Copacabana,PI,Regular,53
2843,2015/01/24 16:00:00+00,SC,São Cristóvão,PI,Boa,40
2844,2015/01/24 16:00:00+00,SP,Tijuca,O3,Regular,56
2845,2015/01/24 16:00:00+00,IR,Irajá,O3,Regular,63
2846,2015/01/24 16:00:00+00,BG,Bangu,O3,Regular,60
2847,2015/01/24 16:00:00+00,CG,Campo Grande,O3,Boa,43
2848,2015/01/24 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,43
2849,2015/01/25 16:00:00+00,CA,Centro,O3,Regular,73
2850,2015/01/25 16:00:00+00,AV,Copacabana,O3,Regular,53
2851,2015/01/25 16:00:00+00,SC,São Cristóvão,O3,Regular,71
2852,2015/01/25 16:00:00+00,SP,Tijuca,O3,Regular,70
2853,2015/01/25 16:00:00+00,IR,Irajá,O3,Regular,64
2854,2015/01/25 16:00:00+00,BG,Bangu,O3,Regular,54
2855,2015/01/25 16:00:00+00,CG,Campo Grande,O3,Boa,40
2856,2015/01/25 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,57
2857,2015/01/26 16:00:00+00,CA,Centro,O3,Boa,44
2858,2015/01/26 16:00:00+00,AV,Copacabana,PI,Regular,53
2859,2015/01/26 16:00:00+00,SC,São Cristóvão,O3,Regular,58
2860,2015/01/26 16:00:00+00,SP,Tijuca,O3,Boa,49
2861,2015/01/26 16:00:00+00,IR,Irajá,O3,Regular,60
2862,2015/01/26 16:00:00+00,BG,Bangu,O3,Regular,59
2863,2015/01/26 16:00:00+00,CG,Campo Grande,O3,Boa,44
2864,2015/01/26 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,58
2865,2015/01/27 16:00:00+00,CA,Centro,O3,Boa,47
2866,2015/01/27 16:00:00+00,AV,Copacabana,PI,Boa,50
2867,2015/01/27 16:00:00+00,SC,São Cristóvão,O3,Regular,70
2868,2015/01/27 16:00:00+00,SP,Tijuca,O3,Regular,79
2869,2015/01/27 16:00:00+00,IR,Irajá,O3,Regular,96
2870,2015/01/27 16:00:00+00,BG,Bangu,O3,Regular,78
2871,2015/01/27 16:00:00+00,CG,Campo Grande,O3,Regular,69
2872,2015/01/27 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,64
2873,2015/01/28 16:00:00+00,CA,Centro,O3,Boa,44
2874,2015/01/28 16:00:00+00,AV,Copacabana,PI,Regular,55
2875,2015/01/28 16:00:00+00,SC,São Cristóvão,O3,Regular,61
2876,2015/01/28 16:00:00+00,SP,Tijuca,O3,Regular,57
2877,2015/01/28 16:00:00+00,IR,Irajá,O3,Inadequada,130
2878,2015/01/28 16:00:00+00,BG,Bangu,O3,Regular,86
2879,2015/01/28 16:00:00+00,CG,Campo Grande,O3,Regular,65
2880,2015/01/28 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,64
2881,2015/01/29 16:00:00+00,CA,Centro,O3,Regular,54
2882,2015/01/29 16:00:00+00,AV,Copacabana,PI,Regular,55
2883,2015/01/29 16:00:00+00,SC,São Cristóvão,O3,Regular,77
2884,2015/01/29 16:00:00+00,SP,Tijuca,O3,Regular,59
2885,2015/01/29 16:00:00+00,IR,Irajá,O3,Regular,54
